Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_SubmitPoolingOrder_Logout,,"Sehati Mobile Automation Test 
"tapAtPosition(x, y)",,,,2023-08-30 14:09:28,2023-08-30 14:09:30,1.502s,PASSED
"delay(2.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:30,2023-08-30 14:09:32,2.509s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonAjukanPollOrder""), 0)",,,,2023-08-30 14:09:32,2023-08-30 14:09:33,0.621s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-08-30 14:09:33,2023-08-30 14:09:36,3.019s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkPopUpMessageDataInsert""), 0)",,,,2023-08-30 14:09:36,2023-08-30 14:09:39,2.881s,PASSED
,,,,,,,
Test Cases/logoutSehatiMobile,,,,2023-08-30 14:09:39,2023-08-30 14:09:52,12.722s,PASSED
"tap(findTestObject(""Object Repository/logoutPage/buttonProfile""), 0)",,,,2023-08-30 14:09:40,2023-08-30 14:09:48,8.250s,PASSED
"tap(findTestObject(""logoutPage/buttonLogout""), 0)",,,,2023-08-30 14:09:48,2023-08-30 14:09:49,1.114s,PASSED
"tap(findTestObject(""Object Repository/logoutPage/buttonKeluarLogout""), 0)",,,,2023-08-30 14:09:49,2023-08-30 14:09:51,1.897s,PASSED
closeApplication(),,,,2023-08-30 14:09:51,2023-08-30 14:09:52,0.820s,PASSED
